mode,rel_ba_pct,p,lr,steps,seed,pairs_csv,bh_macro,model_dir
ilm,10.0,0.9090909090909091,5e-05,2500,0,runs/ilm_wt2_p091_lr5e-05_s0_t2500/bh_ilm_p091_lr5e-05_s0_t2500.csv,0.4794485339397407,runs/ilm_wt2_p091_lr5e-05_s0_t2500
erm,10.0,0.9090909090909091,5e-05,2500,0,runs/erm_wt2_p091_lr5e-05_s0_t2500/bh_erm_p091_lr5e-05_s0_t2500.csv,0.6396076984917959,runs/erm_wt2_p091_lr5e-05_s0_t2500
ilm,10.0,0.9090909090909091,5e-05,2500,1,runs/ilm_wt2_p091_lr5e-05_s1_t2500/bh_ilm_p091_lr5e-05_s1_t2500.csv,0.486657036046965,runs/ilm_wt2_p091_lr5e-05_s1_t2500
erm,10.0,0.9090909090909091,5e-05,2500,1,runs/erm_wt2_p091_lr5e-05_s1_t2500/bh_erm_p091_lr5e-05_s1_t2500.csv,0.677624122054666,runs/erm_wt2_p091_lr5e-05_s1_t2500
ilm,10.0,0.9090909090909091,5e-05,2500,2,runs/ilm_wt2_p091_lr5e-05_s2_t2500/bh_ilm_p091_lr5e-05_s2_t2500.csv,0.42227344998653027,runs/ilm_wt2_p091_lr5e-05_s2_t2500
erm,10.0,0.9090909090909091,5e-05,2500,2,runs/erm_wt2_p091_lr5e-05_s2_t2500/bh_erm_p091_lr5e-05_s2_t2500.csv,0.6558735786334171,runs/erm_wt2_p091_lr5e-05_s2_t2500
ilm,10.0,0.9090909090909091,5e-05,2500,3,runs/ilm_wt2_p091_lr5e-05_s3_t2500/bh_ilm_p091_lr5e-05_s3_t2500.csv,0.50066292395734,runs/ilm_wt2_p091_lr5e-05_s3_t2500
erm,10.0,0.9090909090909091,5e-05,2500,3,runs/erm_wt2_p091_lr5e-05_s3_t2500/bh_erm_p091_lr5e-05_s3_t2500.csv,0.6547367568867041,runs/erm_wt2_p091_lr5e-05_s3_t2500
ilm,10.0,0.9090909090909091,5e-05,2500,4,runs/ilm_wt2_p091_lr5e-05_s4_t2500/bh_ilm_p091_lr5e-05_s4_t2500.csv,0.43474764530830756,runs/ilm_wt2_p091_lr5e-05_s4_t2500
erm,10.0,0.9090909090909091,5e-05,2500,4,runs/erm_wt2_p091_lr5e-05_s4_t2500/bh_erm_p091_lr5e-05_s4_t2500.csv,0.6703163643617481,runs/erm_wt2_p091_lr5e-05_s4_t2500
